RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a0035b4 00000094 t uartProcessIRQ
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002b94 00000004 b rxIsrCallbackUART2Params
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002b98 00000004 b txIsrCallbackUART2Params
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002b9c 00000004 b rxIsrCallbackUART0
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002ba0 00000004 b txIsrCallbackUART0Params
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002ba4 00000004 b rxIsrCallbackUART3Params
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002ba8 00000004 b txIsrCallbackUART0
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002bac 00000004 b txIsrCallbackUART3Params
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002bb0 00000004 b txIsrCallbackUART2
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002bb4 00000004 b txIsrCallbackUART3
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002bb8 00000004 b rxIsrCallbackUART0Params
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a004ecc 00000048 t lpcUarts
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002bbc 00000004 b rxIsrCallbackUART2
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002bc0 00000004 b rxIsrCallbackUART3
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10000140 00000002 b cont.13304
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10000148 00000004 b heap_end.4429
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a000a28 00000064 t prvHeapInit
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a000a8c 00000058 t prvInsertBlockIntoFreeList
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1000014c 00000004 b xFreeBytesRemaining
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10000150 00000004 b pxEnd
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10000154 00000008 b xStart
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1000015c 00002000 b ucHeap
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1000215c 00000004 b xBlockAllocatedBit
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002160 00000004 b xMinimumEverFreeBytesRemaining
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a000c5c 0000001e t prvIsQueueFull
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a000c7c 0000001a t prvIsQueueEmpty
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a000c98 00000076 t prvCopyDataToQueue
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a000d10 00000024 t prvCopyDataFromQueue
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a000d34 0000006a t prvUnlockQueue
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a000e20 00000022 t prvInitialiseNewQueue
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a0010d0 00000018 t prvInitialiseMutex
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002164 000005a0 b uxTimerTaskStack.9436
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:10002704 00000168 b uxIdleTaskStack.9429
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1000286c 00000060 b xIdleTaskTCB.9428
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:100028cc 00000060 b xTimerTaskTCB.9435
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a00147c 00000014 t prvTaskCheckFreeStackSpace
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a001490 00000034 t prvResetNextTaskUnblockTime
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a0014c4 00000092 t prvInitialiseNewTask
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a001558 00000068 t prvInitialiseTaskLists
RTOS2_prj/freeRTOS2_TP1/out/freeRTOS2_TP1.elf:1a0015c0 000000a8 t prvAddNewTaskToReadyList
